Country,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,139.187,124.178,107.634,83.66,80.477,79.071,77.305,74.371,72.271,71.617,69.955,68.95,69.427,69.773,67.036,66.038,68.245,70.732
Austria,675.491,604.414,490.172,420.388,405.494,397.962,388.255,386.189,376.432,364.81,353.114,337.164,319.853,307.617,279.303,259.615,259.975,267.22
Belgium,699.434,617.687,534.512,438.522,426.551,429.357,435.705,437.836,432.385,417.741,395.783,362.484,326.122,312.865,301.233,300.176,300.555,302.814
Canada,213.875,205.53,178.29,160.805,152.684,144.499,134.557,124.194,115.786,109.261,104.514,100.279,98.181,96.955,98.277,99.559,102.273,100.683
Chile,278.542,263.768,262.845,257.353,254.918,257.309,253.753,263.529,272.026,274.747,282.674,292.926,298.179,301.959,289.159,288.44,295.228,307.534
Colombia,210.093,225.431,240.762,218.82,225.856,227.706,237.57,251.42,252.28,243.48,243.328,242.187,240.539,245.993,246.621,247.588,253.477,259.564
Costa Rica,116.598,135.106,149.659,141.966,149.247,135.376,139.931,138.965,159.282,155.018,157.959,163.087,167.542,175.652,181.454,179.322,183.213,185.842
Czech Republic,1256.59,1057.064,838.54,767.118,731.759,720.98,717.853,709.219,700.722,693.08,673.094,649.41,612.978,603.457,581.064,573.418,585.813,585.256
Denmark,713.361,604.379,477.123,380.911,375.05,371.129,363.976,361.553,351.74,328.031,296.584,263.837,235.323,224.227,229.764,235.138,233.673,224.931
Estonia,451.353,494.89,373.854,326.496,318.437,315.65,290.43,273.75,249.29,239.031,216.174,185.195,163.463,138.675,121.427,110.937,113.667,120.481
Finland,269.214,212.918,169.569,135.089,131.916,131.861,131.266,131.285,130.486,123.062,109.986,94.025,78.602,67.303,60.025,56.835,60.246,69.65
France,403.756,357.472,326.014,278.893,274.319,273.725,276.776,278.783,275.995,269.655,259.768,242.999,224.136,216.93,201.588,197.825,200.002,203.434
Germany,800.1,655.093,504.87,421.929,418.975,424.43,434.32,445.242,446.828,432.397,412.479,390.573,359.643,348.94,330.948,319.86,320.436,324.287
Greece,669.291,662.409,686.449,619.248,619.574,641.83,637.824,641.396,637.556,642.986,636.533,598.956,567.662,552.716,525.109,514.084,533.198,545.872
Hungary,1080.218,1105.271,926.741,901.11,878.501,887.251,863.015,870.583,858.211,843.125,822.016,781.484,764.142,765.65,722.4,723.006,732.865,716.649
Iceland,119.755,104.479,89.514,76.306,74.936,73.449,71.148,69.257,66.837,64.08,60.213,54.815,48.682,46.461,45.088,44.9,45.28,45.837
Ireland,416.863,369.808,291.706,204.017,194.434,183.748,175.344,168.567,154.837,153.313,146.641,138.06,128.032,120.322,108.349,101.881,103.805,109.708
Israel,488.461,499.285,415.698,359.407,349.253,348.26,337.251,326.818,320.815,320.793,312.627,303.324,293.115,289.577,272.204,263.31,265.858,267.569
Italy,700.677,653.933,626.677,532.004,521.233,515.791,512.165,505.906,491.437,486.394,477.564,458.475,442.557,441.97,406.585,391.078,399.27,407.807
Japan,242.319,242.16,240.422,235.452,232.296,230.394,228.767,227.198,231.312,241.746,254.306,268.981,280.786,288.502,294.61,297.506,306.401,313.08
Korea,417.572,364.508,354.658,328.309,320.253,314.903,308.922,306.344,308.663,315.264,330.184,342.12,352.346,361.586,366.602,384.056,401.362,426.671
Latvia,993.944,1192.722,888.387,958.397,1011.481,1005.82,952.9,928.002,923.896,887.606,842.567,805.965,732.205,670.69,593.094,555.921,566.872,586.188
Lithuania,679.673,755.722,567.951,655.756,689.186,723.576,717.995,677.278,694.257,684.094,658.081,634.76,578.926,554.192,497.907,436.763,445.837,457.156
Luxembourg,546.994,435.456,327.388,278.077,271.88,263.968,257.518,255.977,251.405,239.144,221.684,201.593,180.378,162.513,145.716,140.865,142.335,147.914
Mexico,252.533,263.573,254.628,227.988,222.674,220.337,228.799,236.191,235.489,236.368,243.679,260.931,269.987,273.001,272.513,276.518,278.039,286.879
Netherlands,573.827,530.667,470.714,374.054,362.145,353.245,350.953,347.44,343.414,331.207,314.637,291.117,268.629,263.406,264.047,266.8,267.694,267.263
New Zealand,132.229,118.286,100.785,75.882,73.491,72.435,71.167,69.279,67.31,66.175,63.622,60.402,59.305,57.736,57.335,57.786,61.129,63.304
Norway,390.792,308.987,257.442,153.24,147.854,145.374,141.695,136.957,130.894,126.103,116.059,105.232,93.013,84.774,77.882,71.837,72.02,73.109
Poland,993.335,991.033,835.662,791.27,798.568,811.707,817.186,820.765,799.898,785.52,772.089,738.648,698.245,704.905,700.884,712.406,725.214,732.817
Portugal,391.365,369.353,380.582,312.604,297.143,285.99,273.622,262.706,251.168,241.474,234.283,225.713,217.117,210.639,206.848,204.468,203.101,203.876
Slovak Republic,1088.821,990.394,839.539,835.821,825.832,831.995,803.075,786.315,751.197,733.353,696.946,664.939,638.868,646.356,613.41,614.312,622.471,636.494
Slovenia,651.164,676.632,582.246,497.635,482.608,465.966,445.152,430.874,422.156,414.221,414.902,404.036,376.961,390.725,375.432,374.769,383.491,396.104
Spain,352.437,312.566,338.701,281.527,266.727,258.532,248.597,236.281,224.464,221.207,218.036,209.614,205.678,205.207,191.332,184.699,187.297,189.99
Sweden,314.519,245.671,215.011,147.063,144.246,142.349,140.068,138.05,134.559,126.772,111.619,94.086,78.897,70.996,68.048,66.438,65.766,64.641
Switzerland,534.559,459.091,365.139,278.172,269.83,264.658,259.668,256.908,249.178,239.659,232.629,222.416,208.535,197.046,171.538,155.245,157.081,160.047
TŸrkiye,523.652,531.796,464.321,438.014,445.733,463.103,489.893,527.548,541.594,541.574,538.857,544.616,549.376,543.182,528.04,511.046,500.738,499.227
United Kingdom,722.556,630.363,498.172,371.007,350.995,334.622,321.314,303.083,289.424,274.389,259.569,243.759,226.209,218.808,213.988,212.957,216.576,214.122
United States,377.84,359.476,319.447,262.862,248.274,231.182,217.041,201.432,188.705,181.527,173.96,167.357,160.885,155.408,146.827,140.084,142.616,145.26
Afghanistan,224.168,191.213,170.446,145.51,144.365,147.47,153.133,160.102,168.657,179.324,194.944,211.61,221.849,223.026,219.574,216.683,219.036,228.234
Albania,285.349,266.002,318.648,380.854,375.502,376.449,400.806,413.414,428.051,444.954,454.462,465,481.224,498.178,506.655,515.221,523.653,532.035
Algeria,425.854,464.555,497.668,479.843,475.547,470.73,465.809,463.235,462.1,465.543,471.393,478.552,488.045,494.707,490.895,489.656,495.663,502.327
American Samoa,93.551,102.384,93.396,100.246,101.608,102.581,104.464,106.451,107.686,110.275,113.444,117.218,120.91,124.749,131.496,137.434,139.647,140.15
Andorra,169.896,162.902,191.118,158.453,155.104,152.435,151.434,152.031,153.165,146.923,146.331,149.053,150.644,150.952,140.705,132.542,134.578,136.917
Angola,104.099,108.651,124.266,123.325,123.892,124.598,126.648,128.427,131.872,135.499,141.666,147.19,150.738,155.527,157.501,160.841,166.775,174.547
Antigua and Barbuda,372.218,387.7,318.276,273.867,274.056,299.954,298.103,278.751,279.47,282.793,285.57,291.476,301.999,305.836,300.004,294.946,299.126,309.069
Argentina,349.936,335.847,302.975,271.463,269.81,277.74,272.196,274.659,280.492,284.377,287.566,292.842,294.994,300.539,300.487,289.129,282.033,281.206
Armenia,609.027,770.517,820.372,1010.785,1057.04,1071.213,1111.837,1125.82,1139.815,1139.519,1126.33,1096.949,1095.78,1115.201,1085.657,1067.043,1055.276,1045.64
Azerbaijan,517.276,632.818,585.073,652.746,674.432,696.015,729.436,757.209,775.925,790.104,800.934,806.205,812.58,807.873,801.539,796.411,777.307,783.148
Bahamas,233.971,239.189,245.691,220.094,219.956,210.938,212.369,217.46,216.617,219.83,223.045,227.303,234.146,243.86,242.695,240.392,246.707,254.771
Bahrain,584.532,552.731,488.519,454.056,421.939,393.834,372.276,354.666,341.858,341.65,341.006,340.136,343.672,356.396,358.152,364.223,369.722,381.299
Bangladesh,200.109,202.381,222.997,238.852,248.862,257.832,264.497,275.168,289.306,292.59,304.63,331.265,363.404,375.193,383.387,405.744,424.713,453.833
