Country,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,2361,2234,2044,1688,1656,1658,1652,1618,1601,1612,1600,1601,1637,1670,1625,1622,1697,1781
Austria,5217,4829,3955,3470,3359,3310,3241,3236,3166,3088,3008,2890,2759,2670,2442,2287,2307,2389
Belgium,6999,6292,5496,4625,4532,4596,4698,4755,4730,4599,4385,4041,3658,3532,3418,3425,3447,3491
Canada,5890,5994,5454,5172,4972,4762,4488,4192,3954,3772,3647,3537,3500,3493,3574,3655,3790,3765
Chile,3698,3793,4033,4165,4170,4255,4240,4450,4641,4738,4926,5157,5304,5426,5262,5315,5508,5808
Colombia,6955,8211,9541,9332,9749,9946,10499,11240,11409,11123,11228,11286,11320,11690,11885,12099,12557,13033
Costa Rica,364,479,593,608,648,596,624,628,729,718,740,773,803,852,889,887,915,938
Czech Republic,12994,10949,8628,7869,7547,7476,7484,7433,7383,7312,7110,6868,6490,6397,6173,6104,6248,6255
Denmark,3667,3163,2548,2065,2043,2032,2002,1999,1954,1831,1663,1487,1332,1276,1312,1347,1344,1298
Estonia,706,709,523,443,430,425,390,366,332,318,287,245,216,182,160,146,150,160
Finland,1345,1090,880,710,697,699,699,702,700,663,595,511,429,369,330,313,332,385
France,22880,20663,19240,17046,16863,16923,17209,17432,17354,17041,16498,15509,14376,13982,13026,12815,12989,13245
Germany,63251,53153,41097,34431,34124,34503,35240,36057,36116,35032,33498,31794,29345,28539,27200,26416,26591,27041
Greece,6844,7118,7607,6951,6913,7118,7030,7027,6941,6971,6872,6439,6077,5892,5573,5431,5608,5715
Hungary,11210,11439,9472,9089,8833,8892,8622,8670,8520,8345,8111,7688,7495,7486,7047,7035,7114,6940
Iceland,31,28,25,23,22,22,22,22,21,21,20,18,16,15,15,15,15,16
Ireland,1464,1328,1104,845,821,791,770,754,705,701,674,637,593,560,510,486,501,535
Israel,2173,2632,2472,2347,2338,2388,2367,2348,2357,2397,2376,2343,2302,2310,2209,2172,2229,2280
Italy,39972,37388,35528,31006,30487,30276,30170,29907,29155,28977,28571,27544,26698,26774,24621,23673,24159,24666
Japan,30170,30601,30660,30215,29820,29585,29387,29195,29733,31048,32632,34486,35968,36924,37617,37897,38937,39692
Korea,17922,16510,16803,15989,15651,15442,15201,15126,15293,15701,16528,17213,17817,18377,18665,19587,20506,21837
Latvia,2648,2992,2118,2158,2251,2212,2070,1991,1958,1859,1744,1649,1480,1340,1172,1086,1095,1119
Lithuania,2512,2741,1989,2193,2274,2356,2306,2146,2169,2111,2005,1910,1720,1625,1439,1244,1251,1264
Luxembourg,209,178,143,127,127,126,126,127,128,124,118,110,100,92,84,83,86,91
Mexico,21198,24160,25183,24168,23965,24070,25364,26566,26868,27335,28559,30986,32481,33267,33593,34479,35062,36582
Netherlands,8588,8208,7497,6122,5950,5826,5811,5774,5729,5542,5281,4901,4536,4462,4483,4540,4566,4569
New Zealand,449,435,389,314,307,306,304,300,294,292,284,273,271,266,267,271,290,303
Norway,1660,1349,1158,710,692,688,678,662,640,624,582,534,478,441,408,380,384,393
Poland,37707,38114,32220,30360,30634,31132,31335,31466,30660,30062,29503,28181,26598,26810,26631,27042,27501,27762
Portugal,3873,3727,3919,3285,3128,3015,2890,2779,2661,2548,2461,2361,2261,2184,2138,2106,2085,2086
Slovak Republic,5758,5324,4533,4513,4460,4494,4338,4249,4060,3968,3775,3606,3469,3513,3337,3345,3392,3472
Slovenia,1306,1347,1157,993,967,939,901,876,863,849,852,832,779,809,778,777,796,823
Spain,13816,12436,13827,12393,11896,11681,11377,10951,10534,10370,10210,9805,9610,9577,8933,8626,8751,8880
Sweden,2695,2171,1910,1329,1314,1307,1296,1287,1264,1200,1065,905,765,693,669,658,655,649
Switzerland,3556,3212,2608,2055,2016,2000,1984,1984,1946,1895,1862,1802,1710,1635,1435,1310,1337,1374
Türkiye,28236,31103,29364,29743,30661,32266,34566,37689,39172,39842,40311,41417,42461,42656,42080,41320,41068,41524
United Kingdom,41283,36518,29354,22367,21383,20598,19983,19041,18367,17544,16721,15820,14790,14411,14180,14198,14527,14449
United States,95261,95320,89992,77543,73935,69494,65851,61680,58312,56525,54581,52907,51243,49867,47411,45517,46629,47787
OECD Asia Oceania,53074,52411,52368,50552,49771,49380,48911,48586,49278,51050,53420,55916,57994,59548,60382,61550,63660,65893
Russia,118991,149227,138453,135203,124824,121386,124508,120708,122281,112444,106080,98767,94415,88238,80464,72053,71903,73859
