"Country","Year","cost_percent","prematured_death"
"Australia",1990,3.14,2361
"Australia",1995,2.89,2234
"Australia",2000,2.7,2044
"Australia",2005,2.27,1688
"Australia",2006,2.21,1656
"Australia",2007,2.17,1658
"Australia",2008,2.13,1652
"Australia",2009,2.1,1618
"Australia",2010,2.08,1601
"Australia",2011,2.07,1612
"Australia",2012,2.06,1600
"Australia",2013,2.05,1601
"Australia",2014,2.04,1637
"Australia",2015,2.03,1670
"Australia",2016,1.97,1625
"Australia",2017,1.91,1622
"Australia",2018,1.93,1697
"Australia",2019,1.97,1781
"Austria",1990,10.34,5217
"Austria",1995,9.68,4829
"Austria",2000,8.19,3955
"Austria",2005,7.39,3470
"Austria",2006,7.25,3359
"Austria",2007,7.12,3310
"Austria",2008,6.98,3241
"Austria",2009,6.87,3236
"Austria",2010,6.69,3166
"Austria",2011,6.48,3088
"Austria",2012,6.2,3008
"Austria",2013,5.91,2890
"Austria",2014,5.61,2759
"Austria",2015,5.3,2670
"Austria",2016,4.87,2442
"Austria",2017,4.59,2287
"Austria",2018,4.6,2307
"Austria",2019,4.69,2389
"Belgium",1990,10.87,6999
"Belgium",1995,9.92,6292
"Belgium",2000,8.79,5496
"Belgium",2005,7.68,4625
"Belgium",2006,7.67,4532
"Belgium",2007,7.75,4596
"Belgium",2008,7.86,4698
"Belgium",2009,7.94,4755
"Belgium",2010,7.89,4730
"Belgium",2011,7.66,4599
"Belgium",2012,7.19,4385
"Belgium",2013,6.62,4041
"Belgium",2014,6.12,3658
"Belgium",2015,5.8,3532
"Belgium",2016,5.65,3418
"Belgium",2017,5.59,3425
"Belgium",2018,5.53,3447
"Belgium",2019,5.5,3491
"Canada",1990,4.84,5890
"Canada",1995,4.61,5994
"Canada",2000,4.16,5454
"Canada",2005,3.9,5172
"Canada",2006,3.77,4972
"Canada",2007,3.58,4762
"Canada",2008,3.36,4488
"Canada",2009,3.15,4192
"Canada",2010,2.97,3954
"Canada",2011,2.83,3772
"Canada",2012,2.7,3647
"Canada",2013,2.58,3537
"Canada",2014,2.49,3500
"Canada",2015,2.45,3493
