Country,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,3.14,2.89,2.7,2.27,2.21,2.17,2.13,2.1,2.08,2.07,2.06,2.05,2.04,2.03,1.97,1.91,1.93,1.97
Austria,10.34,9.68,8.19,7.39,7.25,7.12,6.98,6.87,6.69,6.48,6.2,5.91,5.61,5.3,4.87,4.59,4.6,4.69
Belgium,10.87,9.92,8.79,7.68,7.67,7.75,7.86,7.94,7.89,7.66,7.19,6.62,6.12,5.8,5.65,5.59,5.53,5.5
Canada,4.84,4.61,4.16,3.9,3.77,3.58,3.36,3.15,2.97,2.83,2.7,2.58,2.49,2.45,2.46,2.46,2.42,2.33
Chile,8.68,8.9,9.14,8.69,8.67,8.69,8.7,8.77,8.84,8.96,9.17,9.39,9.52,9.53,9.21,8.96,9.01,9.23
Colombia,7.91,8.64,9.81,9.27,9.47,9.77,10.16,10.53,10.66,10.65,10.62,10.56,10.49,10.44,10.33,10.26,10.29,10.39
Costa Rica,5.68,6.11,7.27,7.3,7.31,7.26,7.27,7.27,7.4,7.43,7.48,7.58,7.64,7.7,7.53,7.34,7.35,7.36
Czech Republic,13.84,13.06,11.31,10.65,10.55,10.51,10.46,10.41,10.29,10.1,9.78,9.41,9.02,8.7,8.36,8.16,8.17,8.15
Denmark,8.95,7.58,6.85,5.93,5.92,5.92,5.95,5.98,5.94,5.73,5.27,4.76,4.34,4.15,4.2,4.24,4.17,3.96
Estonia,5.49,5.16,4.3,3.79,3.7,3.61,3.48,3.34,3.2,3,2.71,2.37,2.04,1.76,1.49,1.35,1.38,1.46
Finland,4.22,3.57,2.93,2.4,2.36,2.34,2.32,2.31,2.28,2.16,1.92,1.64,1.37,1.17,1.03,0.96,1,1.14
France,7.84,7.15,6.68,6.13,6.1,6.11,6.14,6.16,6.12,5.99,5.72,5.38,5.03,4.75,4.44,4.26,4.24,4.22
Germany,9.98,8.87,7.43,6.51,6.52,6.6,6.72,6.83,6.83,6.65,6.28,5.83,5.37,5.02,4.74,4.59,4.57,4.54
Greece,11.02,10.81,11.12,10.33,10.28,10.3,10.29,10.25,10.15,9.94,9.6,9.14,8.63,8.18,7.62,7.24,7.15,7.08
Hungary,10.96,11.09,9.99,9.64,9.56,9.55,9.51,9.5,9.41,9.28,9.09,8.8,8.53,8.31,7.98,7.83,7.8,7.73
